Attribute: index, MSE: nan, Jaccard: 0.0
Attribute: X243, MSE: 0.019666396297846788, Jaccard: 0.9959563882446238
Attribute: X244, MSE: 0.2602886919528276, Jaccard: 0.9960744220455011
Attribute: X245, MSE: 0.002005169422014297, Jaccard: 0.9968390334984494
Attribute: X246, MSE: 0.5789294539400919, Jaccard: 0.9959526427746767
Attribute: X247, MSE: 0.45823404568672976, Jaccard: 0.995803924117316
Attribute: X248, MSE: 0.0038034181684380827, Jaccard: 0.9979531172842495
Attribute: X249, MSE: 0.021254740759712138, Jaccard: 0.9959032816782997
Attribute: X250, MSE: 0.6340990141145955, Jaccard: 0.9958755267237369
Attribute: X251, MSE: 0.604560819447121, Jaccard: 0.9957564351126255
Attribute: X252, MSE: 0.0019623139809019233, Jaccard: 0.995346005655284
Attribute: X253, MSE: 0.00287852942305289, Jaccard: 0.9947450225741988
Attribute: X254, MSE: 0.012822475019768532, Jaccard: 0.995457851694582
Attribute: X255, MSE: 0.045918212090535766, Jaccard: 0.9956931691991008
Attribute: X256, MSE: 0.1884195611830749, Jaccard: 0.9961922567324645
Attribute: X257, MSE: 0.0006411483219454208, Jaccard: 0.9980010085002161
Attribute: X258, MSE: 0.0064620452315294575, Jaccard: 0.9959567901234568
Attribute: X259, MSE: 0.0006133538899322823, Jaccard: 0.995575964714643
Attribute: X260, MSE: 0.0007336965386559686, Jaccard: 0.9956105596797064
Attribute: X261, MSE: 0.7104597088586491, Jaccard: 0.9981020698819715
Attribute: X262, MSE: 0.0034231293579439033, Jaccard: 0.995492606241545
Attribute: X263, MSE: 0.11086375596327476, Jaccard: 0.9959794976144617
Attribute: X264, MSE: 0.0862624257960877, Jaccard: 0.9979718322285183
Attribute: X265, MSE: 0.2213504837269583, Jaccard: 0.9958780298390827
Attribute: X266, MSE: 0.00403501691142808, Jaccard: 0.9958075358860378
Attribute: X267, MSE: 0.023283479024796043, Jaccard: 0.997956204379562
Attribute: X268, MSE: 0.0, Jaccard: 0.0
Attribute: X269, MSE: 0.0011314851633099823, Jaccard: 0.9954210721353612
Attribute: X270, MSE: 0.0006415650085750827, Jaccard: 0.9957558252837723
Attribute: X271, MSE: 0.005304143215476723, Jaccard: 0.9964028421010964
Attribute: X272, MSE: 0.1146154333926513, Jaccard: 0.9958436218924556
Attribute: X273, MSE: 0.5803100004129144, Jaccard: 0.9959763238914627
Attribute: X274, MSE: 0.025756106565902652, Jaccard: 0.996274352752715
Attribute: X275, MSE: 0.5443844694207419, Jaccard: 0.9962689702899646
Attribute: X276, MSE: 0.09276997049060927, Jaccard: 0.9960134234577304
Attribute: X277, MSE: 0.0037064920723268277, Jaccard: 0.9981481481481481
Attribute: X278, MSE: 0.001258900903843381, Jaccard: 0.9953818354844702
Attribute: X279, MSE: 0.09907550773780038, Jaccard: 0.9960036193307386
Attribute: X280, MSE: 0.0006476073373699898, Jaccard: 0.996056082862653
Attribute: X281, MSE: 0.007062277390194805, Jaccard: 0.9980250164581962
Attribute: X282, MSE: 0.010044279943288967, Jaccard: 0.9980681776167413
Attribute: X283, MSE: 0.27277565254386127, Jaccard: 0.9958084992089713
Attribute: X284, MSE: 0.11201658630490108, Jaccard: 0.9979345414804424
Attribute: X285, MSE: 0.4313298463806342, Jaccard: 0.9960361465508746
Attribute: X286, MSE: 0.1349107797354809, Jaccard: 0.9958563676791579
Attribute: X287, MSE: 0.038254709369728385, Jaccard: 0.995856118712496
Attribute: X288, MSE: 0.000659399177478091, Jaccard: 0.9979698163991156
Attribute: X289, MSE: 0.0, Jaccard: 0.0
Attribute: X290, MSE: 0.0, Jaccard: 0.0
Attribute: X291, MSE: 0.030947756193231084, Jaccard: 0.9963883928098071
Attribute: X292, MSE: 0.02378989146993462, Jaccard: 0.9962310395856456
Attribute: X293, MSE: 0.0, Jaccard: 0.0
Attribute: X294, MSE: 0.28453267629548623, Jaccard: 0.9963050372446346
Attribute: X295, MSE: 0.000668256237985867, Jaccard: 0.9981172331356143
Attribute: X296, MSE: 0.0005399999387558708, Jaccard: 1.0
Attribute: X297, MSE: 0.0, Jaccard: 0.0
Attribute: X298, MSE: 0.011209935798810322, Jaccard: 0.995904103747241
Attribute: X299, MSE: 0.012407688320683716, Jaccard: 0.9957354516178045
Attribute: X300, MSE: 0.44386059554827256, Jaccard: 0.9961700135703931
Attribute: X301, MSE: 0.1384722451577693, Jaccard: 0.9963312554028074
Attribute: X302, MSE: 0.03162588678568038, Jaccard: 0.9959077868526925
Attribute: X304, MSE: 0.20499987187657032, Jaccard: 0.9964809572953612
Attribute: X305, MSE: 0.03667439786868046, Jaccard: 0.9961007103981577
Attribute: X306, MSE: 0.10113777916620215, Jaccard: 0.9960158563871752
Attribute: X307, MSE: 0.006214800575896092, Jaccard: 0.9959976441236847
Attribute: X308, MSE: 0.025530824467457563, Jaccard: 0.9961962663752056
Attribute: X309, MSE: 0.017808234692002732, Jaccard: 0.9980798771121352
Attribute: X310, MSE: 0.006768832819247079, Jaccard: 0.9954445226182007
Attribute: X311, MSE: 0.8104088283087324, Jaccard: 0.9964971848466969
Attribute: X312, MSE: 0.011087528749716573, Jaccard: 0.9957877684561622
Attribute: X313, MSE: 0.4612462705540515, Jaccard: 0.9960089679940867
Attribute: X314, MSE: 0.6138361840146705, Jaccard: 0.9958504579657709
Attribute: X315, MSE: 0.07532945616006667, Jaccard: 0.998125650815689
Attribute: X316, MSE: 0.3984436822077411, Jaccard: 0.9960622419815814
Attribute: X317, MSE: 0.020643825419492667, Jaccard: 0.9963538584492753
Attribute: X318, MSE: 0.002251039662353323, Jaccard: 0.9968478804956102
Attribute: X319, MSE: 0.0013721601561506346, Jaccard: 0.9981827740296153
Attribute: X320, MSE: 0.017816558265171437, Jaccard: 0.9960496546578892
Attribute: X321, MSE: 0.46617340428684456, Jaccard: 0.9961162041091585
Attribute: X322, MSE: 0.06124531376344, Jaccard: 0.9964560216343309
Attribute: X323, MSE: 0.024041139507209274, Jaccard: 0.9978835978835979
Attribute: X324, MSE: 0.6715043941864267, Jaccard: 0.9963102011754085
Attribute: X325, MSE: 0.015033133955236987, Jaccard: 0.9955891148325359
